nombre,familia,exp_name,method,time,resultado,n,m,resultado_exp,first,dif,tabu,v,l,gap
berlin52,berlin,exp_iter,ts,3.882854223251343,7542,52,1378,8222,1,680,100,40,901,0.0901617608061522
berlin52,berlin,exp_iter,bl,0.0977706909179687,7542,52,1378,8411,1,869,0,0,901,0.1152214266772739
berlin52,berlin,exp_iter,ts,4.226940155029297,7542,52,1378,8197,1,655,100,40,1001,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.1165175437927246,7542,52,1378,8411,1,869,0,0,1001,0.1152214266772739
berlin52,berlin,exp_iter,ts,4.554198980331421,7542,52,1378,8197,1,655,100,40,1101,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.1425471305847168,7542,52,1378,8411,1,869,0,0,1101,0.1152214266772739
berlin52,berlin,exp_iter,ts,5.072118759155273,7542,52,1378,8197,1,655,100,40,1201,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.133223295211792,7542,52,1378,8411,1,869,0,0,1201,0.1152214266772739
berlin52,berlin,exp_iter,ts,5.539589881896973,7542,52,1378,8197,1,655,100,40,1301,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.1342108249664306,7542,52,1378,8411,1,869,0,0,1301,0.1152214266772739
berlin52,berlin,exp_iter,ts,5.901223421096802,7542,52,1378,8197,1,655,100,40,1401,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.1494030952453613,7542,52,1378,8411,1,869,0,0,1401,0.1152214266772739
berlin52,berlin,exp_iter,ts,6.4540770053863525,7542,52,1378,8197,1,655,100,40,1501,0.0868469901882789
berlin52,berlin,exp_iter,bl,0.154909610748291,7542,52,1378,8411,1,869,0,0,1501,0.1152214266772739
eil51,eil,exp_iter,ts,0.0233430862426757,426,51,1326,502,1,76,100,40,1,0.1784037558685446
eil51,eil,exp_iter,bl,0.0156760215759277,426,51,1326,466,1,40,0,0,1,0.0938967136150234
eil51,eil,exp_iter,ts,0.3550839424133301,426,51,1326,430,1,4,100,40,101,0.0093896713615023
eil51,eil,exp_iter,bl,0.0315253734588623,426,51,1326,450,1,24,0,0,101,0.056338028169014
eil51,eil,exp_iter,ts,0.772641658782959,426,51,1326,429,1,3,100,40,201,0.0070422535211267
eil51,eil,exp_iter,bl,0.0360565185546875,426,51,1326,450,1,24,0,0,201,0.056338028169014
eil51,eil,exp_iter,ts,1.1602919101715088,426,51,1326,429,1,3,100,40,301,0.0070422535211267
eil51,eil,exp_iter,bl,0.0503411293029785,426,51,1326,450,1,24,0,0,301,0.056338028169014
eil51,eil,exp_iter,ts,1.6344289779663086,426,51,1326,429,1,3,100,40,401,0.0070422535211267
eil51,eil,exp_iter,bl,0.0591976642608642,426,51,1326,450,1,24,0,0,401,0.056338028169014
eil51,eil,exp_iter,ts,2.016895532608032,426,51,1326,429,1,3,100,40,501,0.0070422535211267
eil51,eil,exp_iter,bl,0.0688803195953369,426,51,1326,450,1,24,0,0,501,0.056338028169014
